OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU0037	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__BPC015	f__	g__	s__
OTU0038	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__CCU21	f__	g__	s__
OTU0039	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__iii1-15	__	__	__
OTU0040	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__iii1-15	f__	g__	s__
OTU0041	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__iii1-15	f__RB40	g__	s__
OTU0042	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__iii1-15	f__mb2424	g__	s__
OTU0043	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	__	__
OTU0044	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
OTU0045	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidicapsa	s__borealis
OTU0046	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Acidopila	s__rosea
OTU0047	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	__
OTU0048	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__
OTU0049	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella	__
OTU0050	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella	s__aggregans
OTU0051	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella	s__mallensis
OTU0052	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella	s__paludicola
OTU0053	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	g__Terriglobus	s__
OTU0054	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	__	__
OTU0055	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__
OTU0056	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	__
OTU0057	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	s__
OTU0058	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	s__versatilis
OTU0059	k__Bacteria	p__Acidobacteria	c__BPC102	o__	f__	g__	s__
OTU0060	k__Bacteria	p__Acidobacteria	c__BPC102	o__B110	f__	g__	s__
OTU0061	k__Bacteria	p__Acidobacteria	c__BPC102	o__MVS-40	f__	g__	s__
OTU0062	k__Bacteria	p__Acidobacteria	c__DA052	o__Ellin6513	f__	g__	s__
OTU0063	k__Bacteria	p__Acidobacteria	c__EC1113	o__	f__	g__	s__
OTU0064	k__Bacteria	p__Acidobacteria	c__GAL08	o__	f__	g__	s__
OTU0065	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Holophagales	f__Holophagaceae	g__	s__
OTU0066	k__Bacteria	p__Acidobacteria	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__
OTU0067	k__Bacteria	p__Acidobacteria	c__OS-K	o__	f__	g__	s__
OTU0068	k__Bacteria	p__Acidobacteria	c__PAUC37f	o__	f__	g__	s__
OTU0069	k__Bacteria	p__Acidobacteria	c__RB25	o__	f__	g__	s__
OTU0070	k__Bacteria	p__Acidobacteria	c__S035	o__	f__	g__	s__
OTU0071	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__JH-WHS99	f__	g__	s__
OTU0072	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	__	__	__
OTU0073	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__
OTU0074	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__AKIW659	g__	s__
OTU0075	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__MVS-65	g__	s__
OTU0076	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__PAUC26f	g__	s__
OTU0077	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__PK34	g__	s__
OTU0078	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__	s__
OTU0079	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__
OTU0080	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__[Bryobacteraceae]	g__	s__
OTU0081	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__[Bryobacteraceae]	g__Bryobacter	s__
OTU0082	k__Bacteria	p__Acidobacteria	c__Sva0725	o__Sva0725	f__	g__	s__
OTU0083	k__Bacteria	p__Acidobacteria	c__TM1	o__	f__	g__	s__
OTU0084	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__11-24	f__	g__	s__
OTU0085	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__	f__	g__	s__
OTU0086	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__DS-100	f__	g__	s__
OTU0087	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__Ellin7246	f__	g__	s__
OTU0088	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__PK29	f__	g__	s__
OTU0089	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__RB41	f__	g__	s__
OTU0090	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__RB41	f__Ellin6075	g__	s__
OTU0091	k__Bacteria	p__Acidobacteria	c__iii1-8	o__32-20	f__	g__	s__
OTU0092	k__Bacteria	p__Acidobacteria	c__iii1-8	o__	f__	g__	s__
OTU0093	k__Bacteria	p__Acidobacteria	c__iii1-8	o__DS-18	f__	g__	s__
OTU0094	k__Bacteria	p__Acidobacteria	c__iii1-8	o__SJA-36	f__	g__	s__
OTU0095	k__Bacteria	p__Actinobacteria	__	__	__	__	__
OTU0096	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	__	__	__
OTU0097	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
OTU0098	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__AKIW874	g__	s__
OTU0099	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111	__	__
OTU0100	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__C111	g__	s__
OTU0101	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__EB1017	g__	s__
OTU0102	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Iamiaceae	__	__
OTU0103	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Iamiaceae	g__Iamia	s__
OTU0104	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Microthrixaceae	g__	s__
OTU0105	k__Bacteria	p__Actinobacteria	c__Actinobacteria	__	__	__	__
OTU0106	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__	f__	g__	s__
OTU0107	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	__	__	__
OTU0108	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__
OTU0109	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__ACK-M1	g__	s__
OTU0110	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__	s__
OTU0111	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__
OTU0112	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Varibaculum	s__
OTU0113	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinospicaceae	__	__
OTU0114	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinospicaceae	g__	s__
OTU0115	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinospicaceae	g__Actinospica	__
OTU0116	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinosynnemataceae	__	__
OTU0117	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinosynnemataceae	g__Lentzea	__
OTU0118	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Beutenbergiaceae	__	__
OTU0119	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Bogoriellaceae	g__Georgenia	s__
OTU0120	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cellulomonadaceae	__	__
OTU0121	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cellulomonadaceae	g__Actinotalea	s__
OTU0122	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	__
OTU0123	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__
OTU0124	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cellulomonadaceae	g__Demequina	s__
OTU0125	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	__
OTU0126	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__
OTU0127	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__stationis
OTU0128	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cryptosporangiaceae	g__	s__
OTU0129	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Cryptosporangiaceae	g__Cryptosporangium	s__
OTU0130	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae	__	__
OTU0131	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae	g__	s__
OTU0132	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae	g__Frankia	s__
OTU0133	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae	g__Kaistibacter	s__ginsenosidimutans
OTU0134	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	__	__
OTU0135	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__	s__
OTU0136	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__Blastococcus	s__jejuensis
OTU0137	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__Geodermatophilus	__
OTU0138	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__Geodermatophilus	s__
OTU0139	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae	g__Modestobacter	s__
OTU0140	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Gordoniaceae	g__Gordonia	s__
OTU0141	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	__	__
OTU0142	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__	s__
OTU0143	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Kytococcus	s__
OTU0144	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Oryzihumus	s__leptocrescens
OTU0145	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Phycicoccus	s__
OTU0146	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Terracoccus	s__
OTU0147	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Tetrasphaera	__
OTU0148	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Intrasporangiaceae	g__Tetrasphaera	s__
OTU0149	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	__	__
OTU0150	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	g__	s__
OTU0151	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	g__Kineosporia	s__rhamnosa
OTU0152	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	__	__
OTU0153	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__	s__
OTU0154	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Agromyces	s__
OTU0155	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Cryocola	s__
OTU0156	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Curtobacterium	s__
OTU0157	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Frigoribacterium	s__
OTU0158	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Herbiconiux	__
OTU0159	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Leucobacter	s__
OTU0160	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Salinibacterium	__
OTU0161	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Salinibacterium	s__
OTU0162	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	__	__
OTU0163	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter	__
OTU0164	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter	s__
OTU0165	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	__
OTU0166	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	__
OTU0167	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Nesterenkonia	s__
OTU0168	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Renibacterium	s__
OTU0169	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	__	__
OTU0170	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__	s__
OTU0171	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Actinoplanes	s__
OTU0172	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Actinoplanes	s__globisporus
OTU0173	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Catellatospora	s__
OTU0174	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Couchioplanes	__
OTU0175	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Couchioplanes	s__
OTU0176	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Dactylosporangium	s__
OTU0177	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Longispora	s__fulva
OTU0178	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Micromonospora	__
OTU0179	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Pilimelia	s__
OTU0180	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Rugosimonospora	s__acidiphila
OTU0181	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Virgisporangium	s__ochraceum
OTU0182	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	__
OTU0183	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	s__
OTU0184	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	s__celatum
OTU0185	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nakamurellaceae	__	__
OTU0186	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nakamurellaceae	g__	s__
OTU0187	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nakamurellaceae	g__Humicoccus	s__flavidus
OTU0188	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Nocardia	s__
OTU0189	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	__
OTU0190	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	s__
OTU0191	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	s__fascians
OTU0192	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	s__globerulus
OTU0193	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	__	__
OTU0194	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__
OTU0195	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Actinopolymorpha	s__
OTU0196	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Aeromicrobium	s__
OTU0197	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Kribbella	s__
OTU0198	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Marmoricola	s__bigeumensis
OTU0199	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	__
OTU0200	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__
OTU0201	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__halotolerans
OTU0202	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	g_Nocardioides_s__koreensis
OTU0203	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__oleivorans
OTU0204	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__panacihumi
OTU0205	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__Nocardioides	s__pyridinolyticus
OTU0206	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiopsaceae	g__Streptomonospora	s__
OTU0207	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__
OTU0208	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Promicromonosporaceae	g__Promicromonospora	s__
OTU0209	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Promicromonosporaceae	g__Xylanimicrobium	s__
OTU0210	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Promicromonosporaceae	g__Xylanimicrobium	s__pachnodae
OTU0211	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	__	__
OTU0212	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__	s__
OTU0213	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Actinomycetospora	s__
OTU0214	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Amycolatopsis	s__
OTU0215	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	__
OTU0216	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
OTU0217	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__halophobica
OTU0218	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Saccharomonospora	s__
OTU0219	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Sporichthyaceae	g__	s__
OTU0220	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Sporichthyaceae	g__Sporichthya	s__
OTU0221	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	__	__
OTU0222	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__	s__
OTU0223	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Kitasatospora	s__
OTU0224	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Streptomycetaceae	g__Streptomyces	__
