Sample	coreID	depth	Site	length	location	drying	rep	saturation	Unassigned;__	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Archaea;p__[Parvarchaeota]	k__Bacteria;__	k__Bacteria;p__	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BHI80-139	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__FCPU426	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GAL15	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__GOUTA4	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Kazan-3B-28	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVP-21	k__Bacteria;p__NC10	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OC31	k__Bacteria;p__OD1	k__Bacteria;p__OP1	k__Bacteria;p__OP11	k__Bacteria;p__OP3	k__Bacteria;p__OP8	k__Bacteria;p__PAUC34f	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SBR1093	k__Bacteria;p__SC4	k__Bacteria;p__SR1	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS1	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS5	k__Bacteria;p__ZB3	k__Bacteria;p__[Caldithrix]	k__Bacteria;p__[Thermi]
DOC_024	C27	0-5cm	CPCRW	30d	up	FAD	r3	saturated	0	0	0	0	0	0	0	0	5468	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_025	C61	0-5cm	CPCRW	90d	low	CW	r2	saturated	0	30	0	0	0	0	0	0	648	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	13525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_026	C86	0-5cm	CPCRW	90d	low	CW	r1	saturated	0	53	0	12	139	39	433	9622	10569	619	3	0	7209	109	23	1853	57	12	4	0	0	3831	0	0	0	0	0	1437	0	0	0	0	5	223	0	31	0	0	8	0	0	2110	34714	0	0	0	0	113	71	0	15707	325	0	0	127	0	0	0	0
DOC_027	C53	0-5cm	CPCRW	90d	low	CW	r4	saturated	0	70	0	0	5	17	0	4332	1847	24	0	0	672	5	0	468	17	3	0	0	0	1200	0	0	0	0	0	474	0	0	0	0	0	51	0	10	0	0	3	0	0	395	7452	0	0	0	0	3	0	0	1238	2	0	0	42	0	0	0	0
DOC_028	C71	0-5cm	CPCRW	90d	low	FAD	r4	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_029	C77	0-5cm	CPCRW	90d	low	FAD	r1	saturated	0	33	0	0	22	16	0	1554	4026	15	0	23	1102	9	12	568	0	31	0	0	0	2189	0	0	0	0	0	485	0	0	0	0	0	35	0	4	0	0	0	0	0	339	9904	0	0	0	0	0	0	0	862	0	0	0	37	0	0	0	0
DOC_030	C52	0-5cm	CPCRW	90d	low	FAD	r3	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_031	C34	0-5cm	CPCRW	90d	up	CW	r3	saturated	0	0	0	0	114	3	322	3645	7098	337	0	0	4003	31	0	531	117	7	0	0	0	4319	0	0	0	0	0	260	0	0	0	0	0	17	0	13	0	0	0	0	0	1177	19097	0	0	0	0	155	93	0	6390	446	0	0	3	0	0	0	0
DOC_032	C15	0-5cm	CPCRW	90d	up	CW	r2	saturated	0	0	0	0	1005	0	282	5339	9740	147	0	0	4328	332	0	755	183	41	4	0	0	4100	0	0	0	0	0	898	0	0	0	0	0	0	0	8	0	0	0	0	0	814	31265	0	0	0	0	173	114	0	4629	338	0	0	0	0	0	0	0
DOC_033	C11	0-5cm	CPCRW	90d	up	CW	r1	saturated	0	0	0	0	378	2	67	1964	8119	35	0	0	2512	198	3	300	19	0	0	0	0	1458	0	0	0	0	0	29	0	0	0	0	0	6	0	0	0	0	0	0	0	144	23531	0	0	0	0	9	224	0	1395	171	0	0	0	0	0	0	0
DOC_034	C1	0-5cm	CPCRW	90d	up	FAD	r1	saturated	0	63	0	0	0	0	0	0	20930	0	0	0	91	0	0	0	144	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42777	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	709
DOC_035	C37	0-5cm	CPCRW	90d	up	FAD	r4	saturated	0	0	0	0	0	0	0	0	14396	0	0	0	0	0	0	38	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	22727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207
DOC_036	C18	0-5cm	CPCRW	90d	up	FAD	r3	saturated	0	0	0	0	0	0	0	0	10372	0	0	0	27	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	12856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179
DOC_037	C55	5cm-end	CPCRW	150d	low	CW	r4	saturated	0	0	0	0	0	0	0	2	525	0	0	0	143	0	0	2	0	72	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_038	C60	5cm-end	CPCRW	150d	low	CW	r1	saturated	0	53	0	2	40	6	20	5410	1964	18	0	6	1702	24	10	993	10	0	0	0	0	2094	0	0	0	0	0	1354	0	0	0	0	0	117	0	7	0	0	20	0	0	694	13824	0	0	0	0	25	16	0	7730	0	0	3	55	0	0	0	0
DOC_039	C72	5cm-end	CPCRW	150d	low	CW	r3	saturated	0	85	0	0	2	8	9	5200	2034	17	0	0	726	0	2	583	5	9	4	0	0	1257	0	0	2	0	0	665	0	0	0	0	0	51	0	2	0	0	0	0	0	346	9429	0	0	0	0	3	0	0	1566	0	0	0	46	0	0	0	0
DOC_040	C49	5cm-end	CPCRW	150d	low	FAD	r3	saturated	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DOC_041	C46	5cm-end	CPCRW	150d	low	FAD	r4	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_042	C79	5cm-end	CPCRW	150d	low	FAD	r2	saturated	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_043	C28	5cm-end	CPCRW	150d	up	CW	r1	saturated	0	5	0	0	82	2	226	2652	4405	156	0	0	3682	21	0	374	114	10	0	0	0	3515	0	0	0	0	0	262	0	0	0	0	0	9	0	0	0	0	0	0	0	976	15751	0	0	0	0	11	63	0	4494	380	0	0	2	0	0	0	0
DOC_044	C4	5cm-end	CPCRW	150d	up	CW	r4	saturated	0	3	0	0	5	0	27	584	1093	0	0	0	1217	0	0	39	59	12	0	0	0	257	0	0	0	0	0	295	0	0	0	0	0	5	0	0	0	0	0	0	0	320	4948	0	0	0	0	3	22	0	1349	29	0	0	0	0	0	0	0
DOC_045	C26	5cm-end	CPCRW	150d	up	CW	r3	saturated	0	2	0	0	7	2	0	290	203	13	0	0	2034	0	0	36	22	3	0	0	0	244	0	0	0	0	0	33	0	0	0	0	0	3	0	0	0	0	0	0	0	55	5354	0	0	0	0	0	0	0	572	6	0	0	0	0	0	0	0
DOC_046	C35	5cm-end	CPCRW	150d	up	FAD	r2	saturated	0	0	0	0	208	5	0	946	3553	0	0	0	2312	0	0	130	6	4	0	0	0	2501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	9780	0	0	0	0	7	0	0	204	0	0	0	0	0	0	0	0
DOC_047	C33	5cm-end	CPCRW	150d	up	FAD	r1	saturated	0	0	0	0	30	5	290	1571	2114	41	0	0	389	0	19	387	71	5	4	0	2	6022	0	0	0	0	0	250	0	0	0	0	0	3	0	6	0	0	0	0	0	199	7129	0	0	0	0	59	3	0	1855	77	0	0	2	0	0	0	0
DOC_048	C8	5cm-end	CPCRW	150d	up	FAD	r3	saturated	0	8	0	0	176	24	608	1983	2827	11	0	0	147	11	0	449	0	18	0	0	0	15201	0	0	0	0	0	83	0	0	0	0	0	7	0	0	0	0	0	0	0	162	5931	0	0	0	0	30	0	0	2715	69	0	0	0	0	0	0	0
DOC_049	C65	5cm-end	CPCRW	30d	low	CW	r3	saturated	0	0	0	0	0	0	0	25	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	68	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0
DOC_050	C66	5cm-end	CPCRW	30d	low	CW	r2	saturated	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_051	C69	5cm-end	CPCRW	30d	low	CW	r1	saturated	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_052	C50	5cm-end	CPCRW	30d	low	FAD	r1	saturated	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DOC_053	C44	5cm-end	CPCRW	30d	low	FAD	r3	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_054	C56	5cm-end	CPCRW	30d	low	FAD	r4	saturated	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_055	C20	5cm-end	CPCRW	30d	up	CW	r3	saturated	0	15	0	0	75	14	1140	6342	6848	128	0	4	1917	22	20	987	157	42	11	0	4	3602	0	0	0	0	0	3236	0	0	0	0	0	103	0	16	0	0	0	0	0	1510	21264	0	0	0	0	10	63	0	11857	112	0	0	69	0	0	0	0
DOC_056	C3	5cm-end	CPCRW	30d	up	CW	r4	saturated	0	5	0	0	30	10	63	2274	4183	62	0	0	1051	33	2	277	42	62	4	0	0	396	0	0	0	0	0	800	0	0	0	0	0	14	0	27	0	0	0	0	0	807	9939	0	0	0	0	27	131	0	2990	167	0	0	5	0	0	0	0
DOC_057	C9	5cm-end	CPCRW	30d	up	CW	r2	saturated	0	6	0	0	41	2	690	4253	4863	140	0	0	1477	0	15	257	21	7	9	0	0	329	0	0	0	0	0	122	0	0	0	0	0	0	0	5	0	0	0	0	0	708	29159	0	0	0	0	29	919	0	5939	386	0	0	0	0	0	0	0
DOC_058	C6	5cm-end	CPCRW	30d	up	FAD	r1	saturated	0	11	0	0	237	87	1173	3375	13015	456	0	0	13808	41	7	586	366	0	0	0	0	7484	0	0	0	0	0	245	0	0	0	0	0	25	0	63	0	0	0	0	0	845	33017	0	0	0	0	74	78	0	10043	657	0	0	0	0	0	0	0
DOC_059	C39	5cm-end	CPCRW	30d	up	FAD	r4	saturated	0	0	0	0	210	0	0	2017	5873	0	0	0	3048	7	20	727	0	0	0	0	0	2361	0	0	0	0	0	811	0	0	0	0	0	192	0	0	0	0	0	0	0	1757	19909	0	0	0	0	13	40	0	3099	0	0	0	13	0	0	0	65
DOC_060	C27	5cm-end	CPCRW	30d	up	FAD	r3	saturated	0	0	0	0	559	23	248	4300	10974	245	0	0	5262	109	36	791	629	52	4	0	8	6560	0	0	0	0	0	2182	0	0	0	0	0	9	0	83	0	23	0	0	0	2098	61839	0	0	0	0	165	560	0	5555	25	0	0	73	0	0	0	8
DOC_061	C61	5cm-end	CPCRW	90d	low	CW	r2	saturated	0	6	0	0	0	0	13	314	91	4	0	0	140	0	3	12	0	0	0	0	0	97	0	0	0	0	0	71	0	0	0	0	0	12	0	2	0	0	0	0	0	96	1295	0	0	0	0	0	4	0	1316	0	0	0	0	0	0	0	0
DOC_062	C86	5cm-end	CPCRW	90d	low	CW	r1	saturated	0	0	0	0	126	22	153	3710	4511	357	0	0	4024	56	6	259	14	50	0	2	0	699	0	0	0	0	0	259	0	0	0	0	0	7	0	7	0	0	0	0	0	601	21506	0	0	0	0	17	112	0	5540	231	0	0	2	0	0	0	0
DOC_063	C53	5cm-end	CPCRW	90d	low	CW	r4	saturated	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_064	C71	5cm-end	CPCRW	90d	low	FAD	r4	saturated	0	97	0	0	10	9	3	4062	2453	16	0	7	1532	0	0	861	30	16	0	0	0	3457	0	0	2	0	0	689	0	0	0	0	0	66	0	7	0	0	0	0	0	409	16763	0	0	0	0	0	4	0	1700	0	0	0	49	0	0	0	0
DOC_065	C77	5cm-end	CPCRW	90d	low	FAD	r1	saturated	0	0	0	0	0	0	0	111	4119	0	0	0	126	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15839	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
DOC_066	C52	5cm-end	CPCRW	90d	low	FAD	r3	saturated	0	0	0	0	0	0	0	26	28	0	0	0	4	0	0	2	0	0	0	0	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	97	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0
DOC_067	C34	5cm-end	CPCRW	90d	up	CW	r3	saturated	0	4	0	3	223	45	1806	16733	15041	678	0	0	4027	73	137	2765	260	107	13	7	0	2371	0	0	0	0	0	13411	0	0	0	0	0	51	0	158	0	6	7	0	0	5609	63473	0	0	0	5	71	230	0	21243	172	0	0	25	0	0	0	0
DOC_068	C15	5cm-end	CPCRW	90d	up	CW	r2	saturated	0	3	0	0	136	7	677	5250	4318	389	0	0	4807	34	3	460	27	4	0	0	0	2953	0	0	0	0	0	167	0	0	0	0	0	0	0	30	0	0	0	0	0	634	19515	0	0	0	0	76	124	0	3435	337	0	0	0	0	0	0	0
DOC_069	C11	5cm-end	CPCRW	90d	up	CW	r1	saturated	0	59	0	0	15	44	56	10951	4454	391	0	5	257	7	14	3011	12	3	2	0	0	70	0	0	0	0	0	599	0	0	0	0	0	1344	0	0	0	3	0	0	0	2045	8148	0	0	0	5	20	0	0	2814	0	0	0	91	0	0	0	0
DOC_070	C1	5cm-end	CPCRW	90d	up	FAD	r1	saturated	0	2	0	0	248	0	16	3165	4814	29	0	4	1112	21	17	344	52	48	0	0	19	5960	0	0	5	0	0	1319	0	0	0	0	0	33	0	20	0	0	3	0	0	514	14697	0	0	0	0	92	43	0	2226	0	0	0	6	0	0	0	0
DOC_071	C37	5cm-end	CPCRW	90d	up	FAD	r4	saturated	0	0	0	0	257	3	39	1109	5097	8	0	0	883	40	22	396	93	18	0	0	0	9609	0	0	0	0	0	208	0	0	0	0	0	5	0	6	0	0	0	0	0	377	10639	0	0	0	0	9	61	0	2231	126	0	0	0	0	0	0	0
DOC_072	C18	5cm-end	CPCRW	90d	up	FAD	r3	saturated	0	7	0	0	0	0	0	0	2675	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_073	S13	0-5cm	SR	150d	low	CW	r2	saturated	0	0	0	0	0	0	0	27	2034	0	0	0	146	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19435	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0
DOC_074	S26	0-5cm	SR	150d	low	CW	r3	saturated	0	36	0	2	24	8	0	1772	8505	19	0	0	1456	0	7	567	66	0	3	0	0	2990	0	0	0	0	0	278	0	0	0	0	0	33	0	0	0	0	2	0	0	993	22256	0	5	0	0	2	2	0	760	0	0	0	20	2	0	0	0
DOC_075	S4	0-5cm	SR	150d	low	CW	r4	saturated	0	107	0	2	158	4	0	2587	15336	49	0	0	3229	2	10	686	24	12	0	0	0	6417	0	0	0	0	0	621	0	0	0	0	0	204	0	0	0	0	0	0	0	755	21388	0	0	0	0	9	0	4	1093	2	0	0	27	0	0	0	0
DOC_076	S8	0-5cm	SR	150d	low	FAD	r3	saturated	0	43	0	0	8	10	0	469	5889	22	0	0	2326	8	0	170	2	3	0	0	0	2538	0	0	0	0	0	249	0	0	0	0	0	4	0	0	0	0	0	0	0	1809	17093	0	0	0	0	5	3	0	353	0	0	0	0	0	0	0	0
