No. ,Info  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Protein  [%],Protein  Factor,Moisture  [%],Memo  ,Date       Time  
67,"Nu,Cu",30,MT,100,blank,130,52,0.041,0.015,1,1,0,0,0.3773,0,0,0,,2/11/20 20:03
68,"Nu,Cu",30,MT,100,blank [O2],92,49,0.029,0.015,1,1,0,0,0.5034,0,0,0,,2/11/20 20:11
69,"Nu,Cu",30,MT,100,blank [O2],135,42,0.042,0.012,1,1,0,0,0.2932,0,0,0,,2/11/20 20:18
70,,31,RunIn,248.9,aspartic acid 2,68666,258112,10.572,36.035,1.022,1.009,0,0,3.4084,0,0,0,,2/11/20 20:28
71,,32,RunIn,223.6,aspartic acid 2,61929,232134,10.605,36.021,1.022,1.009,0,0,3.3965,0,0,0,,2/11/20 20:37
72,,33,aspartic acid,217.8,aspartic acid 2,60234,226768,10.52,36.06,1.0155,1.0075,0,0,3.4278,0,0,0,,2/11/20 20:46
73,,34,aspartic acid,222.8,aspartic acid 2,61783,231555,10.52,36.06,1.0125,1.009,0,0,3.4278,0,0,0,,2/11/20 20:56
74,,52,S62 0-5cm,1604.9,soil,17102,242921,0.4,5.251,1.014,1.0082,0,0,13.1366,0,0,0,,2/11/20 21:10
75,,53,S65 5-end,1589.4,soil,13378,173426,0.314,3.768,1.014,1.0082,0,0,11.9896,0,0,0,,2/11/20 21:22
76,Cpe,54,S15 5-end,1603.6,soil,21887,409667,0.514,8.931,1.014,1.0082,0,0,17.3818,0,0,0,,2/11/20 21:41
77,,55,S11 5-end,1541.1,soil,19192,329714,0.468,7.456,1.014,1.0082,0,0,15.9312,0,0,0,,2/11/20 21:59
78,,56,S52 5-end,1550.7,soil,12574,170072,0.302,3.787,1.014,1.0082,0,0,12.5228,0,0,0,,2/11/20 22:12
79,Cpe,57,S34 0-5cm,1675.9,soil,28883,504114,0.651,10.546,1.014,1.0082,0,0,16.2043,0,0,0,,2/11/20 22:30
80,,58,S62 5-end,1560.2,soil,11212,135878,0.267,2.998,1.014,1.0082,0,0,11.2191,0,0,0,,2/11/20 22:42
81,Cpe,59,S37 0-5cm,1582.9,soil,27410,495181,0.654,10.966,1.014,1.0082,0,0,16.7778,0,0,0,,2/11/20 23:01
82,,60,S87 0-5cm,1518.6,soil,15867,238432,0.391,5.446,1.014,1.0082,0,0,13.9122,0,0,0,,2/11/20 23:15
83,,61,S78 5-end,1568.9,soil,12660,169238,0.301,3.724,1.014,1.0082,0,0,12.3743,0,0,0,,2/11/20 23:27
84,,62,S37 5-end,1551.8,soil,22244,360681,0.54,8.11,1.014,1.0082,0,0,15.0262,0,0,0,,2/11/20 23:44
85,,63,S34 5-end,1617.7,soil,23081,364600,0.537,7.866,1.014,1.0082,0,0,14.6343,0,0,0,,2/12/20 00:02
86,,64,S65 0-5cm,1454.9,soil,16050,230041,0.413,5.481,1.014,1.0082,0,0,13.2595,0,0,0,,2/12/20 00:16
87,"Nu,Cu",65,MT,100,blank,37,533,0.012,0.158,1,1,0,0,13.6748,0,0,0,,2/12/20 00:23
88,,66,runin,111.2,aspartic acid 3,30889,116602,10.497,36.031,1.014,1.0082,0,0,3.4326,0,0,0,,2/12/20 00:32
89,,68,C71 0-5cm,934.2,soil,28513,631780,1.152,23.769,1.014,1.0082,0,0,20.6247,0,0,0,,2/12/20 00:48
90,,69,C28 0-5cm,1868.6,soil,11149,243942,0.222,4.529,1.014,1.0082,0,0,20.4166,0,0,0,,2/12/20 01:01
91,,70,C18 0-5cm,1535.4,soil,33568,637327,0.827,14.59,1.014,1.0082,0,0,17.6473,0,0,0,,2/12/20 01:17
92,Co,71,C50 0-5cm,937.5,soil,44926,810135,1.816,30.396,1.014,1.0082,0,0,16.7348,0,0,0,,2/12/20 01:33
93,,72,C50 5-end,1613.8,soil,13123,322940,0.304,6.971,1.014,1.0082,0,0,22.9676,0,0,0,,2/12/20 01:46
94,,73,C1 0-5cm,1514.3,soil,22489,462086,0.559,10.686,1.014,1.0082,0,0,19.1072,0,0,0,,2/12/20 02:04
95,,74,C13 5-end,2577,soil,14440,298426,0.21,4.03,1.014,1.0082,0,0,19.2287,0,0,0,,2/12/20 02:18
96,,75,C27 5-end,2207.3,soil,12451,258517,0.21,4.067,1.014,1.0082,0,0,19.3379,0,0,0,,2/12/20 02:31
97,,76,C16 5-end,1756.2,soil,11256,245009,0.238,4.841,1.014,1.0082,0,0,20.3075,0,0,0,,2/12/20 02:44
98,,77,C27 0-5cm,1663.6,soil,26504,442043,0.601,9.3,1.014,1.0082,0,0,15.4707,0,0,0,,2/12/20 03:02
99,,78,C16 0-5cm,1665.8,soil,24903,482542,0.564,10.15,1.014,1.0082,0,0,18.0079,0,0,0,,2/12/20 03:19
100,,79,C44 5-end,1006.7,soil,24235,543511,0.907,18.947,1.014,1.0082,0,0,20.8797,0,0,0,,2/12/20 03:34
101,,80,C62 5-end,1700.8,soil,31283,574651,0.695,11.864,1.014,1.0082,0,0,17.0685,0,0,0,,2/12/20 03:51
102,,81,C6 5-end,1494.7,soil,11127,264704,0.277,6.152,1.014,1.0082,0,0,22.224,0,0,0,,2/12/20 04:04
103,,82,C56 0-5cm,800.9,soil,36519,669393,1.726,29.388,1.014,1.0082,0,0,17.0313,0,0,0,,2/12/20 04:19
104,,83,C75 0-5cm,2581.1,soil,17462,357533,0.254,4.833,1.014,1.0082,0,0,19.0374,0,0,0,,2/12/20 04:33
105,,84,C37 5-end,1583.1,soil,26284,545571,0.626,12.094,1.014,1.0082,0,0,19.3084,0,0,0,,2/12/20 04:50
106,,85,C72 5-end,1401.6,soil,2213,37552,0.062,0.905,1,1.0082,0,0,14.6511,0,0,0,,2/12/20 05:00
107,,86,C18 5-end,1483.8,soil,7208,152923,0.182,3.553,1,1.0082,0,0,19.5559,0,0,0,,2/12/20 05:11
108,,87,C39 5-end,1607.4,soil,32223,626523,0.758,13.698,1.014,1.0082,0,0,18.076,0,0,0,,2/12/20 05:27
109,"Npe,Co",88,C60 0-5cm,942.8,soil,41032,736049,1.648,27.462,1.014,1.0082,0,0,16.6589,0,0,0,,2/12/20 05:43
110,Nu,35,MT,100,blank,9,1399,0.003,0.422,1,1,0,0,153.4001,0,0,0,,2/12/20 05:51
111,,36,RunIn,270.7,aspartic acid 2,74553,280262,10.479,35.993,1.014,1.0082,0,0,3.4347,0,0,0,,2/12/20 06:01
112,,89,C52 5-end,1473.2,soil,8985,211058,0.225,4.961,1.014,1.0082,0,0,22.0102,0,0,0,,2/12/20 06:12
113,Co,90,C60 5-end,1097.3,soil,45428,759117,1.569,24.336,1.014,1.0082,0,0,15.5074,0,0,0,,2/12/20 06:29
114,,1,C44 0-5cm,982.1,soil,38471,720560,1.483,25.807,1.014,1.0082,0,0,17.402,0,0,0,,2/12/20 06:43
115,,2,C28 5-end,1264.4,soil,3969,103699,0.12,2.814,1,1.0082,0,0,23.4007,0,0,0,,2/12/20 06:53
116,,3,C55 5-end,982.6,soil,34404,636299,1.324,22.761,1.014,1.0082,0,0,17.1869,0,0,0,,2/12/20 07:08
117,,4,C4 5-end,1524.9,soil,3633,74976,0.092,1.68,1,1.0082,0,0,18.3255,0,0,0,,2/12/20 07:18
118,,5,C62 0-5cm,966.6,soil,41772,704912,1.637,25.649,1.014,1.0082,0,0,15.6673,0,0,0,,2/12/20 07:33
119,,6,C6 0-5cm,1697.7,soil,19279,408832,0.427,8.419,1.014,1.0082,0,0,19.7267,0,0,0,,2/12/20 07:48
120,,7,C52 0-5cm,826.5,soil,38185,719581,1.749,30.624,1.014,1.0082,0,0,17.5093,0,0,0,,2/12/20 08:02
121,,8,C39 0-5cm,1200.8,soil,34195,684117,1.077,20.035,1.014,1.0082,0,0,18.6012,0,0,0,,2/12/20 08:16
122,,9,C26 5-end,2219.6,soil,9271,202240,0.155,3.153,1.014,1.0082,0,0,20.4082,0,0,0,,2/12/20 08:28
123,,10,C75 5-end,1356.7,soil,1870,33245,0.054,0.826,1,1.0082,0,0,15.2912,0,0,0,,2/12/20 08:36
124,,11,C4 0-5cm,1604.7,soil,23734,474747,0.557,10.364,1.014,1.0082,0,0,18.5956,0,0,0,,2/12/20 08:52
125,,12,C72 0-5cm,1860,soil,31428,625617,0.639,11.821,1.014,1.0082,0,0,18.5107,0,0,0,,2/12/20 09:08
126,,13,C13 0-5cm,1523.3,soil,34139,562449,0.848,12.963,1.014,1.0082,0,0,15.2927,0,0,0,,2/12/20 09:24
127,,14,C37 0-5cm,1528.8,soil,18322,388165,0.45,8.869,1.014,1.0082,0,0,19.7075,0,0,0,,2/12/20 09:39
128,,15,C71 5-end,1511.6,soil,3762,71603,0.096,1.617,1,1.0082,0,0,16.9173,0,0,0,,2/12/20 09:49
129,,16,C56 5-end,1504.4,soil,37568,706038,0.945,16.506,1.014,1.0082,0,0,17.4627,0,0,0,,2/12/20 10:06
130,,17,C26 0-5cm,1989.2,soil,12452,252304,0.233,4.403,1.014,1.0082,0,0,18.8655,0,0,0,,2/12/20 10:19
131,,18,C55 0-5cm,856.9,soil,38480,701267,1.7,28.783,1.014,1.0082,0,0,16.9299,0,0,0,,2/12/20 10:34
132,,19,C1 5-end,1558,soil,6315,160355,0.152,3.551,1,1.0082,0,0,23.3682,0,0,0,,2/12/20 10:45
133,"Nu,Cu",20,MT,100,blank,46,328,0.014,0.097,1,1,0,0,6.7413,0,0,0,,2/12/20 10:53
134,,21,RunIn,126.9,aspartic acid 2,35441,133121,10.566,36.106,1.014,1.0082,0,0,3.4171,0,0,0,,2/12/20 11:02
