No. ,Info  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Protein  [%],Protein  Factor,Moisture  [%],Memo  ,Date       Time  
47,,45,C66 5-end,1007,soil,6817,144790,0.253,4.971,1,1.0117,0,0,19.6222,0,0,0,,8/3/19 03:13
48,,46,C67 5-end,996.5,soil,10337,220255,0.387,7.684,1.0191,1.0117,0,0,19.8609,0,0,0,,8/3/19 03:24
49,,47,C695-end,998.9,soil,1921,37138,0.075,1.26,1,1.0117,0,0,16.7244,0,0,0,,8/3/19 03:33
50,,48,C73 5-end,1001.7,soil,9874,226334,0.367,7.858,1.0191,1.0117,0,0,21.4006,0,0,0,,8/3/19 03:44
51,,49,C81 5-end,998.2,soil,1825,36391,0.072,1.235,1,1.0117,0,0,17.2442,0,0,0,,8/3/19 03:53
52,,50,C82 5-end,995.5,soil,1783,32655,0.07,1.109,1,1.0117,0,0,15.7995,0,0,0,,8/3/19 04:02
53,,51,C86 5-end,1003.7,soil,1389,23118,0.054,0.777,1,1,0,0,14.3951,0,0,0,,8/3/19 04:11
54,"Nu,Cu",52,mt,100,soil,15,113,0.005,0.033,1,1,0,0,7.1743,0,0,0,,8/3/19 04:20
55,"Nu,Cu",52,mt,100,soil,66,85,0.021,0.025,1,1,0,0,1.212,0,0,0,,8/3/19 04:29
56,,53,RunIn,346.2,aspartic acid 2,94943,356906,10.514,36.092,1.0191,1.0117,0,0,3.4327,0,0,0,,8/3/19 04:39
57,,54,BC15_check,698.9,soil,5751,170896,0.309,8.472,1,1.0117,0,0,27.3732,0,0,0,,8/3/19 04:50
58,,55,BC15_check,734.5,soil,5932,176648,0.303,8.336,1,1.0117,0,0,27.4747,0,0,0,,8/3/19 05:02
